Codigo Cliente;Codigo Produto;Codigo Consultor;DataFaturamento;NumeroNota;ModeloNota;SerieNota;QtdeFaturada;ValorFaturado;NatOperacao;Descricao Filial;CNPJ FORNECEDOR;CNPJ ROGE;OrigemPedido
566998;396886;989897;20201112;1939123;55;7;4;48,840000;Venda;Interg;22137853000102;10829506000161;Venda Externa
566998;396904;989897;20201112;1939123;55;7;6;73,260000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;415583;8023;20201112;1939122;55;7;1;15,640000;Venda;Interg;22137853000102;10829506000161;Venda Externa
566998;385931;989897;20201112;1939123;55;7;2;24,420000;Venda;Interg;22137853000102;10829506000161;Venda Externa
566998;385943;989897;20201112;1939123;55;7;2;24,420000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;387332;8023;20201112;1939122;55;7;2;26,580000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;396862;8023;20201112;1939122;55;7;2;26,580000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;396904;8023;20201112;1939122;55;7;3;39,870000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;397088;8023;20201112;1939122;55;7;2;30,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;397325;8023;20201112;1939122;55;7;1;15,190000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;351260;8023;20201112;1939122;55;7;2;30,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;351313;8023;20201112;1939122;55;7;2;30,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
979326;351351;8023;20201112;1939122;55;7;2;30,380000;Venda;Interg;22137853000102;10829506000161;Venda Externa
875041;351283;8023;20201112;1939117;55;7;1;15,960000;Venda;Interg;22137853000102;10829506000161;Venda Externa
875041;351313;8023;20201112;1939117;55;7;1;15,960000;Venda;Interg;22137853000102;10829506000161;Venda Externa
851437;427718;8023;20201112;1939105;55;7;2;10,560000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1805151;435983;924568;20201112;1939106;55;7;6;21,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
814957;427718;71500;20201112;1939048;55;7;2;10,360000;Venda;Interg;22137853000102;10829506000161;Venda Externa
126718;221946;12660;20201112;1939042;55;7;6;29,340000;Venda;Interg;22137853000102;10829506000161;Venda Externa
777640;387332;917722;20201112;1939041;55;7;3;40,470000;Venda;Interg;22137853000102;10829506000161;Venda Externa
777640;387344;917722;20201112;1939041;55;7;3;40,470000;Venda;Interg;22137853000102;10829506000161;Venda Externa
766501;373734;6634;20201112;1939040;55;7;6;19,500000;Venda;Interg;22137853000102;10829506000161;Venda Externa
782452;221946;75097;20201112;1939062;55;7;6;28,140000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;406261;92941;20201112;1939060;55;7;4;19,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;406776;92941;20201112;1939060;55;7;4;19,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;406788;92941;20201112;1939060;55;7;4;19,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;79984;92941;20201112;1939060;55;7;6;29,640000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;185413;92941;20201112;1939060;55;7;4;19,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
444625;221946;92941;20201112;1939060;55;7;4;19,760000;Venda;Interg;22137853000102;10829506000161;Venda Externa
749278;373734;92941;20201112;1938993;55;7;6;19,320000;Venda;Interg;22137853000102;10829506000161;Venda Externa
749278;375998;92941;20201112;1938993;55;7;6;19,320000;Venda;Interg;22137853000102;10829506000161;Venda Externa
790667;406776;74123;20201112;1938984;55;7;3;14,670000;Venda;Interg;22137853000102;10829506000161;Venda Externa
790667;406788;74123;20201112;1938984;55;7;2;9,780000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;386571;8382;20201112;1938957;55;7;1;12,590000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
558382;396862;8382;20201112;1938957;55;7;2;25,180000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
558382;396874;8382;20201112;1938957;55;7;1;12,590000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
558382;396886;8382;20201112;1938957;55;7;3;37,770000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
561113;396862;924568;20201112;1938951;55;7;2;25,780000;Venda;Interg;22137853000102;10829506000161;Venda Externa
501130;373916;71391;20201112;1938945;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
501130;374362;71391;20201112;1938945;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
501130;374441;71391;20201112;1938945;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
501130;374465;71391;20201112;1938945;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
501130;374623;71391;20201112;1938945;55;7;6;17,280000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
594775;419564;903383;20201112;1938943;55;7;2;10,740000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1771723;427731;7043;20201112;1938936;55;7;5;24,450000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1771723;427718;7043;20201112;1938936;55;7;5;24,450000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1051661;385992;93002;20201112;1938933;55;7;2;27,980000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1051661;387332;93002;20201112;1938933;55;7;3;41,970000;Venda;Interg;22137853000102;10829506000161;Venda Externa
1051661;396849;93002;20201112;1938933;55;7;3;41,970000;Venda;Interg;22137853000102;10829506000161;Venda Externa
476195;427718;91509;20201112;1938915;55;7;1;4,930000;Venda;Interg;22137853000102;10829506000161;Venda Externa
476195;33765;91509;20201112;1938915;55;7;1;5,000000;Venda;Interg;22137853000102;10829506000161;Venda Externa
476195;185413;91509;20201112;1938915;55;7;2;9,300000;Venda;Interg;22137853000102;10829506000161;Venda Externa
854694;406261;907870;20201112;1938907;55;7;5;24,400000;Venda;Interg;22137853000102;10829506000161;Venda Externa
854694;411656;907870;20201112;1938907;55;7;5;24,400000;Venda;Interg;22137853000102;10829506000161;Venda Externa
780224;416903;75115;20201112;1938893;55;7;6;16,380000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
780224;416927;75115;20201112;1938893;55;7;6;16,380000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
780224;416939;75115;20201112;1938893;55;7;6;16,380000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
286588;435983;91509;20201112;1938886;55;7;36;129,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
711951;427731;6762;20201112;1938884;55;7;3;15,540000;Venda;Interg;22137853000102;10829506000161;Venda Externa
711951;375822;6762;20201112;1938884;55;7;6;19,140000;Venda;Interg;22137853000102;10829506000161;Venda Externa
711951;427718;6762;20201112;1938884;55;7;2;10,360000;Venda;Interg;22137853000102;10829506000161;Venda Externa
846107;386171;71500;20201112;1938880;55;7;1;7,620000;Venda;Interg;22137853000102;10829506000161;Venda Externa
846107;386194;71500;20201112;1938880;55;7;1;7,620000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;385955;8382;20201112;1938857;55;7;6;75,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;386133;8382;20201112;1938857;55;7;3;37,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;386560;8382;20201112;1938857;55;7;6;75,600000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;391967;8382;20201112;1938857;55;7;6;136,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;392157;8382;20201112;1938857;55;7;6;136,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;392212;8382;20201112;1938857;55;7;1;22,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
558382;397131;8382;20201112;1938857;55;7;3;37,800000;Venda;Interg;22137853000102;10829506000161;Venda Externa
743800;433603;6701;20201112;1938850;55;7;6;48,540000;Venda;Interg;22137853000102;10829506000161;Ecommmerce
1029253;79984;93002;20201112;1938849;55;7;3;14,670000;Venda;Interg;22137853000102;10829506000161;Venda Externa
993128;427718;92941;20201112;1938838;55;7;5;26,150000;Venda;Interg;22137853000102;10829506000161;Venda Externa
993128;78359;92941;20201112;1938838;55;7;3;15,930000;Venda;Interg;22137853000102;10829506000161;Venda Externa
993128;79972;92941;20201112;1938838;55;7;3;14,820000;Venda;Interg;22137853000102;10829506000161;Venda Externa
993128;79984;92941;20201112;1938838;55;7;3;14,820000;Venda;Interg;22137853000102;10829506000161;Venda Externa
899732;385955;92941;20201112;1939035;55;7;2;26,820000;Venda;Interg;22137853000102;10829506000161;Venda Externa
